State,Median_Income,Unemployment_Rate,Crime_Rate
Alabama,51690.19402985075,5.907104885291439,359.9
Alaska,76687.5,7.895371727083681,724.1
Arizona,59725.53333333333,7.143308437475256,421.9
Arkansas,49542.333333333336,5.972562890033787,579.4
California,82966.60344827586,6.772005970335611,486.0
Colorado,70542.53125,4.3661529279869935,476.3
Connecticut,89776.11111111111,5.95683372104153,136.0
Delaware,76664.33333333333,5.495674155800811,360.8
District Of Columbia,101722.0,7.1075435922969765,
Florida,61786.31343283582,5.347719602794126,267.1
Georgia,57724.591194968554,5.475574800987374,325.7
Hawaii,89223.0,4.147643747278435,217.7
Idaho,62464.045454545456,3.826365858170845,230.6
Illinois,66102.83333333333,5.02292016311721,289.2
Indiana,66228.89130434782,4.171551753625002,312.9
Iowa,67479.8686868687,3.3639676568115036,243.3
Kansas,61593.49523809524,3.0915868159106665,438.7
Kentucky,53803.933333333334,5.818808993490046,213.1
Louisiana,53126.265625,7.099590264205132,519.8
Maine,63499.9375,4.476824052556424,100.1
Maryland,90905.625,4.825351743490834,420.4
Massachusetts,93467.42857142857,5.530312851424215,314.7
Michigan,61703.5421686747,5.792700456427672,434.3
Minnesota,72833.908045977,3.7689942047002982,256.6
Mississippi,46327.84146341463,7.099121312100921,210.5
Missouri,56655.66086956522,4.298100554560944,462.0
Montana,60086.94642857143,3.866469709933373,423.5
Nebraska,63774.56989247312,2.3123127924019493,220.5
Nevada,70919.35294117648,5.765627826511526,402.0
New Hampshire,81765.8,3.609451221635889,110.1
New Jersey,96885.23809523809,6.281192419070271,217.7
New Mexico,52603.878787878784,6.519926892137131,717.1
New York,73474.62903225806,5.428316535354127,380.2
North Carolina,58261.46,5.700695961167493,375.8
North Dakota,70749.16981132075,2.824092067089492,254.3
Ohio,65302.10227272727,4.538202282086326,293.7
Oklahoma,56459.93506493507,4.877887252401577,422.8
Oregon,66581.0,5.758253188843261,331.0
Pennsylvania,67019.4776119403,5.055202166453422,245.6
Rhode Island,92003.0,5.471577951770921,153.6
South Carolina,54681.67391304348,6.309140978716006,436.7
South Dakota,63824.77272727273,4.351881996275378,362.3
Tennessee,56437.26315789474,5.424777181539436,592.3
Texas,62041.023715415016,4.7700261844656175,389.4
Utah,75462.8275862069,3.8473739149979456,229.6
Vermont,71835.0,3.9520474418994014,219.1
Virginia,71966.86466165414,4.703286540127858,217.9
Washington,72437.84615384616,5.465597151032825,326.1
West Virginia,52442.6,7.057638887591335,248.8
Wisconsin,68805.58333333333,3.531500737265788,278.5
Wyoming,71282.91304347826,3.617920046665914,203.4
